schema_version,experiment_id,run_id,sample_id,flow_id,artifact_flow_id,repeat_id,benchmark_name,flow_name,flow_layout_version,source_flow_layout_version,source_flow_name,error_context_enabled,iterative,started_at,completed_at,configuration_hash,request_hash,fairness_configuration,git_commit,tool_versions,original_obfuscated_binary_path,reference_executable_path,reference_executable_kind,strict_mandated_oracle_compatible,historical_status,status,inconclusive_reason,llm_calls,input_tokens,output_tokens,total_tokens,estimated_api_cost,llm_latency,preprocessing_time,compile_time,fuzzing_time,total_runtime,time_to_first_candidate,time_to_first_compilable_candidate,time_to_first_behavioral_pass_candidate,compiler_attempts,compile_success_first,any_compile_success_within_budget,last_candidate_compile_success,compile_repair_case,compile_repair_rounds,compile_repair_success,compile_candidate_before_repair,compile_candidate_after_repair,compiler_feedback_path,compiler_repair_applied,behavioral_repair_case,behavioral_repair_rounds,behavioral_repair_success,behavioral_candidate_before_repair,behavioral_candidate_after_repair,behavioral_repair_applied,counterexamples_used,counterexample_ids_used,regression_corpus_size,first_behavioral_pass,final_behavioral_pass,counterexample_ever_found,reproducible_counterexample_ever_found,final_counterexample_found,reproducible_final_counterexample,fuzzing_completed,behavioral_validation_completed,fuzz_generated,fuzz_executed_on_both,fuzz_valid,fuzz_invalid,fuzz_matches,fuzz_mismatches,fuzz_execution_errors,input_match_rate,binary_lifting_completed,raw_ir_generated,llvm_deobfuscation_completed,llvm_ir_verification_completed,pseudocode_generated,llm_generation_completed,compilation_completed,candidate_accepted,re_executability_success,canonical_e2e_success,flow_specific_recovery_success,peak_memory,cpu_time,raw_ir_path,clean_ir_path,brightened_intermediate_path,llvm_verify_attempted,llvm_verify_success,llvm_verify_error,raw_instruction_count,clean_instruction_count,instruction_reduction_percent,raw_basic_block_count,clean_basic_block_count,basic_block_reduction_percent,raw_conditional_branch_count,clean_conditional_branch_count,conditional_branch_reduction_percent,readability_variables,readability_loops,readability_conditions,readability_logic_flow,readability_structure,readability_overall,readability_variables_rationale,readability_loops_rationale,readability_conditions_rationale,readability_logic_flow_rationale,readability_structure_rationale,readability_summary,readability_rubric_version,readability_source_sha256,readability_evaluated_at,readability_correctness_assessed,evaluator_id,evaluation_method,original_sloc,recovered_sloc,sloc_ratio,provenance_warnings
2.0,experiment_20260821_120308,22c00af1501567231565,p00001,B1,B1,0,s092364643,GHIDRA_PSEUDOCODE_ONESHOT,five-flow-b1-b2-f1-f2-f3-v1,five-flow-b1-b2-f1-f2-f3-v1,GHIDRA_PSEUDOCODE_ONESHOT,False,False,2026-08-21T05:19:27.085498+00:00,2026-08-21T06:07:42.204611+00:00,40a11bedb6e35ee03265ef6a434033c26d52150cf7d84597ebd3ff0885fe3cef,,"{""behavioral_repair_budget"": 0, ""compile_repair_budget"": 0, ""cpu_limit"": null, ""error_context_enabled"": false, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""flow_name"": ""GHIDRA_PSEUDOCODE_ONESHOT"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": null, ""fuzzing_seed"": null, ""max_iterations"": 1, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": null, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""source_flow_name"": ""GHIDRA_PSEUDOCODE_ONESHOT"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",/home/dungbv/clau/data/obfuscated/p00001/s092364643_fla_bcf_instsub.elf,/home/dungbv/clau/data/obfuscated/p00001/s092364643_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,FAIL_COMPILE,FAIL_GENERATION,,1,17991,1061,19052,,16.795761585235596,,0.0,0.0,16.80050563812256,,,,0,,,,False,0,,,,,False,False,0,,,,False,0,[],,,,False,False,False,False,False,False,,,,,,,,,True,True,True,True,True,True,False,False,False,False,False,,,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001.ll,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001_brightened.ll,True,True,,3139,819,73.90888818094935,141,65,53.90070921985816,63,4,93.65079365079364,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
2.0,experiment_20260821_120308,ce03d66da3bc18569352,p00001,B2,B2,0,s092364643,OBJDUMP_ASSEMBLY_ONESHOT,five-flow-b1-b2-f1-f2-f3-v1,five-flow-b1-b2-f1-f2-f3-v1,OBJDUMP_ASSEMBLY_ONESHOT,False,False,2026-08-21T05:19:27.912099+00:00,2026-08-21T06:07:33.700030+00:00,81be543764a9fb963b6282b34befb33b451c0f2148161f511cb5d423f55fcfa9,,"{""behavioral_repair_budget"": 0, ""compile_repair_budget"": 0, ""cpu_limit"": null, ""error_context_enabled"": false, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""flow_name"": ""OBJDUMP_ASSEMBLY_ONESHOT"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": 1.0, ""fuzzing_seed"": null, ""max_iterations"": 1, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": 0.1, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""source_flow_name"": ""OBJDUMP_ASSEMBLY_ONESHOT"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",/home/dungbv/clau/data/obfuscated/p00001/s092364643_fla_bcf_instsub.elf,/home/dungbv/clau/data/obfuscated/p00001/s092364643_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,FAIL_BEHAVIORAL,FAIL_BEHAVIORAL,,1,22277,378,22655,,6.067963123321533,,0.059213876724243164,2.1488828659057617,8.295599222183228,,,,1,True,True,True,False,0,,,,,False,False,0,,/home/dungbv/clau/result/eval_20260821_120308/p00001/B2/recovered_iter1.c,/home/dungbv/clau/result/eval_20260821_120308/p00001/B2/recovered_iter1.c,False,0,[],,False,False,True,True,True,True,True,True,1001,1000,1000,1,0,1000,0,0.0,True,True,True,True,True,True,True,False,True,False,False,,,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001.ll,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001_brightened.ll,True,True,,3139,819,73.90888818094935,141,65,53.90070921985816,63,4,93.65079365079364,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
2.0,experiment_20260821_120308,96068a9d2eac3cfe7dda,p00001,F1,F1,0,s092364643,FULL,five-flow-b1-b2-f1-f2-f3-v1,five-flow-b1-b2-f1-f2-f3-v1,FULL,True,True,2026-08-21T06:07:25.405324+00:00,2026-08-21T06:08:21.115446+00:00,e3e5218d78b5312394e284f0423737b38fb2fc39c3484263402d027e17a6a586,,"{""behavioral_repair_budget"": 4, ""compile_repair_budget"": 4, ""cpu_limit"": null, ""error_context_enabled"": true, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""flow_name"": ""FULL"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": null, ""fuzzing_seed"": null, ""max_iterations"": 5, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": null, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""source_flow_name"": ""FULL"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",/home/dungbv/clau/data/obfuscated/p00001/s092364643_fla_bcf_instsub.elf,/home/dungbv/clau/data/obfuscated/p00001/s092364643_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,FAIL_COMPILE,FAIL_GENERATION,,5,358378,1604,359982,,55.63957762718201,,0.0,0.0,55.71080565452576,,,,0,,,,False,0,,,,,False,False,0,,,,False,0,[],,,,False,False,False,False,False,False,,,,,,,,,True,True,True,True,True,True,False,False,False,False,False,,,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001.ll,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001_brightened.ll,True,True,,3139,819,73.90888818094935,141,65,53.90070921985816,63,4,93.65079365079364,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
2.0,experiment_20260821_120308,f000faa43ff5a13e13cb,p00001,F2,F2,0,s092364643,NO_ERROR_CONTEXT,five-flow-b1-b2-f1-f2-f3-v1,five-flow-b1-b2-f1-f2-f3-v1,NO_ERROR_CONTEXT,False,False,2026-08-21T06:07:25.405410+00:00,2026-08-21T06:07:36.999464+00:00,4273560cc6220b41f90f91631fd18f9be409be175d896ec50bb73a8b4aceadfc,,"{""behavioral_repair_budget"": 0, ""compile_repair_budget"": 0, ""cpu_limit"": null, ""error_context_enabled"": false, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""flow_name"": ""NO_ERROR_CONTEXT"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": null, ""fuzzing_seed"": null, ""max_iterations"": 1, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": null, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""source_flow_name"": ""NO_ERROR_CONTEXT"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",/home/dungbv/clau/data/obfuscated/p00001/s092364643_fla_bcf_instsub.elf,/home/dungbv/clau/data/obfuscated/p00001/s092364643_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,FAIL_COMPILE,FAIL_GENERATION,,1,71461,319,71780,,11.533132791519165,,0.0,0.0,11.594709634780884,,,,0,,,,False,0,,,,,False,False,0,,,,False,0,[],,,,False,False,False,False,False,False,,,,,,,,,True,True,True,True,True,True,False,False,False,False,False,,,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001.ll,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001_brightened.ll,True,True,,3139,819,73.90888818094935,141,65,53.90070921985816,63,4,93.65079365079364,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
2.0,experiment_20260821_120308,3b9a80400806352b8a42,p00001,F3,F3,0,s092364643,NO_PSEUDOCODE,five-flow-b1-b2-f1-f2-f3-v1,five-flow-b1-b2-f1-f2-f3-v1,NO_PSEUDOCODE,True,True,2026-08-21T06:07:25.405544+00:00,2026-08-21T06:08:19.634210+00:00,542470f1485ba4cf209e93ac4de9b81ec49e4601e6a6abc0c896e594f52e72b7,,"{""behavioral_repair_budget"": 4, ""compile_repair_budget"": 4, ""cpu_limit"": null, ""error_context_enabled"": true, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""flow_name"": ""NO_PSEUDOCODE"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": null, ""fuzzing_seed"": null, ""max_iterations"": 5, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": null, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""source_flow_name"": ""NO_PSEUDOCODE"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",/home/dungbv/clau/data/obfuscated/p00001/s092364643_fla_bcf_instsub.elf,/home/dungbv/clau/data/obfuscated/p00001/s092364643_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,FAIL_COMPILE,FAIL_GENERATION,,5,236236,1614,237850,,54.22218894958496,,0.0,0.0,54.22934079170227,,,,0,,,,False,0,,,,,False,False,0,,,,False,0,[],,,,False,False,False,False,False,False,,,,,,,,,True,True,True,True,True,True,False,False,False,False,False,,,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001.ll,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001_brightened.ll,True,True,,3139,819,73.90888818094935,141,65,53.90070921985816,63,4,93.65079365079364,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
2.0,experiment_20260821_120308,0b60d3af1ec20dc6052f,p00008,B1,B1,0,s771404612,GHIDRA_PSEUDOCODE_ONESHOT,five-flow-b1-b2-f1-f2-f3-v1,five-flow-b1-b2-f1-f2-f3-v1,GHIDRA_PSEUDOCODE_ONESHOT,False,False,2026-08-21T05:28:29.291960+00:00,2026-08-21T06:09:11.803864+00:00,40a11bedb6e35ee03265ef6a434033c26d52150cf7d84597ebd3ff0885fe3cef,,"{""behavioral_repair_budget"": 0, ""compile_repair_budget"": 0, ""cpu_limit"": null, ""error_context_enabled"": false, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""flow_name"": ""GHIDRA_PSEUDOCODE_ONESHOT"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": null, ""fuzzing_seed"": null, ""max_iterations"": 1, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": null, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""source_flow_name"": ""GHIDRA_PSEUDOCODE_ONESHOT"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",/home/dungbv/clau/data/obfuscated/p00008/s771404612_fla_bcf_instsub.elf,/home/dungbv/clau/data/obfuscated/p00008/s771404612_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,FAIL_COMPILE,FAIL_GENERATION,,1,20409,515,20924,,13.858504056930542,,0.0,0.0,13.860401630401611,,,,0,,,,False,0,,,,,False,False,0,,,,False,0,[],,,,False,False,False,False,False,False,,,,,,,,,True,True,True,True,True,True,False,False,False,False,False,,,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008.ll,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008_brightened.ll,True,True,,3614,2604,27.946873270614276,180,82,54.44444444444444,86,2,97.67441860465115,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
2.0,experiment_20260821_120308,e75a0e0794def8ac4f08,p00008,B2,B2,0,s771404612,OBJDUMP_ASSEMBLY_ONESHOT,five-flow-b1-b2-f1-f2-f3-v1,five-flow-b1-b2-f1-f2-f3-v1,OBJDUMP_ASSEMBLY_ONESHOT,False,False,2026-08-21T05:28:30.106627+00:00,2026-08-21T06:18:15.449607+00:00,81be543764a9fb963b6282b34befb33b451c0f2148161f511cb5d423f55fcfa9,,"{""behavioral_repair_budget"": 0, ""compile_repair_budget"": 0, ""cpu_limit"": null, ""error_context_enabled"": false, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""flow_name"": ""OBJDUMP_ASSEMBLY_ONESHOT"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": 1.0, ""fuzzing_seed"": null, ""max_iterations"": 1, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": 0.1, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""source_flow_name"": ""OBJDUMP_ASSEMBLY_ONESHOT"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",/home/dungbv/clau/data/obfuscated/p00008/s771404612_fla_bcf_instsub.elf,/home/dungbv/clau/data/obfuscated/p00008/s771404612_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,PASS,PASS,,1,34748,198,34946,,12.48529601097107,,0.058563232421875,2.584700345993042,15.14600157737732,,,,1,True,True,True,False,0,,,,,False,False,0,,,,False,0,[],,True,True,False,False,False,False,True,True,1000,1000,1000,0,1000,0,0,100.0,True,True,True,True,True,True,True,True,True,True,True,,,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008.ll,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008_brightened.ll,True,True,,3614,2604,27.946873270614276,180,82,54.44444444444444,86,2,97.67441860465115,4,5,5,5,5,4.8,"Variables are few, scoped tightly, mostly clear, though a,b,c,d are minimal digit names.","Nested for loops are conventional, bounded, easy to trace.","Predicates are simple, direct, free of low-level boolean artifacts.","Control flow is linear with no goto, dispatcher, or tangled branches.",Single coherent main function uses standard C structure and clear I/O loop.,Readable conventional C with straightforward structure and minor naming brevity.,source-readability-1-to-5-v1,0a795b4f808b70416dcad173b31607141eb16072eb2db5935e1ca46576ac519c,2026-08-21T06:18:15.450008+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
2.0,experiment_20260821_120308,e93e89ad4c9c898089e9,p00008,F1,F1,0,s771404612,FULL,five-flow-b1-b2-f1-f2-f3-v1,five-flow-b1-b2-f1-f2-f3-v1,FULL,True,True,2026-08-21T06:09:03.893741+00:00,2026-08-21T06:10:17.349500+00:00,e3e5218d78b5312394e284f0423737b38fb2fc39c3484263402d027e17a6a586,,"{""behavioral_repair_budget"": 4, ""compile_repair_budget"": 4, ""cpu_limit"": null, ""error_context_enabled"": true, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""flow_name"": ""FULL"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": null, ""fuzzing_seed"": null, ""max_iterations"": 5, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": null, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""source_flow_name"": ""FULL"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",/home/dungbv/clau/data/obfuscated/p00008/s771404612_fla_bcf_instsub.elf,/home/dungbv/clau/data/obfuscated/p00008/s771404612_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,FAIL_COMPILE,FAIL_GENERATION,,5,1083825,1602,1085427,,73.35897827148438,,0.0,0.0,73.4558732509613,,,,0,,,,False,0,,,,,False,False,0,,,,False,0,[],,,,False,False,False,False,False,False,,,,,,,,,True,True,True,True,True,True,False,False,False,False,False,,,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008.ll,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008_brightened.ll,True,True,,3614,2604,27.946873270614276,180,82,54.44444444444444,86,2,97.67441860465115,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
2.0,experiment_20260821_120308,289ea36b7c65408f7817,p00008,F2,F2,0,s771404612,NO_ERROR_CONTEXT,five-flow-b1-b2-f1-f2-f3-v1,five-flow-b1-b2-f1-f2-f3-v1,NO_ERROR_CONTEXT,False,False,2026-08-21T06:09:03.909160+00:00,2026-08-21T06:09:16.737405+00:00,4273560cc6220b41f90f91631fd18f9be409be175d896ec50bb73a8b4aceadfc,,"{""behavioral_repair_budget"": 0, ""compile_repair_budget"": 0, ""cpu_limit"": null, ""error_context_enabled"": false, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""flow_name"": ""NO_ERROR_CONTEXT"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": null, ""fuzzing_seed"": null, ""max_iterations"": 1, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": null, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""source_flow_name"": ""NO_ERROR_CONTEXT"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",/home/dungbv/clau/data/obfuscated/p00008/s771404612_fla_bcf_instsub.elf,/home/dungbv/clau/data/obfuscated/p00008/s771404612_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,FAIL_COMPILE,FAIL_GENERATION,,1,216549,324,216873,,12.741925716400146,,0.0,0.0,12.828400135040283,,,,0,,,,False,0,,,,,False,False,0,,,,False,0,[],,,,False,False,False,False,False,False,,,,,,,,,True,True,True,True,True,True,False,False,False,False,False,,,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008.ll,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008_brightened.ll,True,True,,3614,2604,27.946873270614276,180,82,54.44444444444444,86,2,97.67441860465115,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
2.0,experiment_20260821_120308,5785bfd52304ba88a580,p00008,F3,F3,0,s771404612,NO_PSEUDOCODE,five-flow-b1-b2-f1-f2-f3-v1,five-flow-b1-b2-f1-f2-f3-v1,NO_PSEUDOCODE,True,True,2026-08-21T06:09:05.511803+00:00,2026-08-21T06:10:34.104509+00:00,39952f996860e3ac353c92668089b862547db14fafa9329b42082927cc78afb2,,"{""behavioral_repair_budget"": 4, ""compile_repair_budget"": 4, ""cpu_limit"": null, ""error_context_enabled"": true, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""flow_name"": ""NO_PSEUDOCODE"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": 1.0, ""fuzzing_seed"": null, ""max_iterations"": 5, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": 0.1, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v1"", ""source_flow_name"": ""NO_PSEUDOCODE"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",/home/dungbv/clau/data/obfuscated/p00008/s771404612_fla_bcf_instsub.elf,/home/dungbv/clau/data/obfuscated/p00008/s771404612_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,FAIL_BEHAVIORAL,FAIL_BEHAVIORAL,,5,714276,1487,715763,,83.87986040115356,,0.060907840728759766,4.63125467300415,88.59284114837646,,,,1,True,True,True,False,0,,,,,False,True,0,False,/home/dungbv/clau/result/eval_20260821_120308/p00008/F3/recovered_iter1.c,/home/dungbv/clau/result/eval_20260821_120308/p00008/F3/recovered_iter1.c,False,0,[],,False,False,True,True,True,True,True,True,1000,1000,223,777,0,223,777,0.0,True,True,True,True,True,True,True,False,True,False,False,,,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008.ll,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008_brightened.ll,True,True,,3614,2604,27.946873270614276,180,82,54.44444444444444,86,2,97.67441860465115,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
